model,accuracy,f1_macro,f1_weighted
logreg_tfidf,0.636,0.6384350114428706,0.6377119639211739
svm_linear_tfidf,0.62,0.6224968750076921,0.6212356465009281
naive_bayes_tfidf,0.606,0.6051605753788748,0.6034973204105396
random_forest_tfidf,0.618,0.6163150339207369,0.6156210692158449
knn_tfidf,0.342,0.176939831970807,0.1792322140816384
decision_tree_tfidf,0.526,0.5169714256384031,0.5154927464231432
